Total_Capex,Total_Revenue,WACC,Weight_Cap,Weight_Env,Weight_Grid,Weight_Social,Max_Penetration,Timestamp,Sim_ID,Hora,Preco_LMP,Carga_Total,PV_Total,Wind_Total,Bess_Discharge,Bess_Charge,Bess_SoC_Pct,DER_Injecao_Liq,Rev_Energia,Rev_Social,Rev_Grid
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,10,0.0253,491.5063,44.1892,127.1793,0.0000,0.0000,61.2022,171.3685,13.0274,0.0000,43.4248
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,11,0.0274,489.0550,186.2509,89.3967,0.0000,0.0000,61.2022,275.6476,22.6252,0.0000,75.4172
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,12,0.0283,486.0286,228.3630,212.7317,0.0000,0.0000,61.2022,441.0947,37.4225,0.0000,124.7416
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,13,0.0235,496.8087,57.6292,181.3812,0.0000,0.0000,61.2022,239.0105,16.8359,0.0000,56.1197
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,14,0.0226,512.3589,96.9748,53.7742,0.0000,0.0000,61.2022,150.7490,10.2434,0.0000,34.1446
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,15,0.0242,561.7533,33.5671,267.1255,0.0000,0.0000,61.2022,300.6925,21.7942,0.0000,72.6473
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,16,0.0267,550.4712,7.5184,92.4127,0.0000,0.0000,61.2022,99.9310,7.9925,0.0000,26.6416
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,17,0.0478,529.9730,0.0000,48.2309,212.2175,0.0000,41.5507,260.4485,37.3561,0.0000,124.5204
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,18,0.0256,513.9156,0.0000,25.2838,0.0000,0.0000,41.5507,25.2838,1.9410,0.0000,6.4701
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,19,0.0206,492.1451,0.0000,30.6120,0.0000,0.0000,41.5507,30.6120,1.8964,0.0000,6.3214
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,20,0.0232,459.3439,0.0000,148.0627,0.0000,0.0000,41.5507,148.0627,10.3229,0.0000,34.4098
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,21,0.0254,385.4374,0.0000,332.3890,0.0000,0.0000,41.5507,332.3890,25.2981,0.0000,84.3271
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,22,0.0240,354.1722,0.0000,64.1021,0.0000,0.0000,41.5507,64.1021,4.6173,0.0000,15.3909
1307252.3727,3069.5350,0.0200,0.5000,0.5000,1.0000,0.0000,0.5000,2026-01-29 23:24:06,20260129_232406,23,0.0235,342.4963,0.0000,441.3923,0.0000,101.1014,50.0000,340.2909,31.1049,0.0000,103.6831
1307252.3727,3395.9558,0.0200,0.5000,0.7500,1.0000,0.0000,0.5000,2026-01-29 23:25:24,20260129_232524,0,0.0223,363.9543,0.0000,214.9270,0.0000,0.0000,50.0000,214.9270,14.3528,0.0000,47.8428
1307252.3727,3395.9558,0.0200,0.5000,0.7500,1.0000,0.0000,0.5000,2026-01-29 23:25:24,20260129_232524,1,0.0222,364.0527,0.0000,151.4644,0.0000,0.0000,50.0000,151.4644,10.0694,0.0000,33.5645
1307252.3727,3395.9558,0.0200,0.5000,0.7500,1.0000,0.0000,0.5000,2026-01-29 23:25:24,20260129_232524,2,0.0221,365.1441,0.0000,467.3224,0.0000,100.2803,58.3806,367.0421,30.9554,0.0000,103.1848
1307252.3727,3395.9558,0.0200,0.5000,0.7500,1.0000,0.0000,0.5000,2026-01-29 23:25:24,20260129_232524,3,0.0215,367.4733,0.0000,295.7426,0.0000,0.0000,58.3806,295.7426,19.1109,0.0000,63.7030
1307252.3727,3395.9558,0.0200,0.5000,0.7500,1.0000,0.0000,0.5000,2026-01-29 23:25:24,20260129_232524,4,0.0219,388.6418,0.0000,41.5547,0.0000,0.0000,58.3806,41.5547,2.7264,0.0000,9.0880
